"Pāli1"	"POS"	"Grammar"	"Pāli Root"	"Pattern"	"count"	"found"
"vinipāta"	"masc"	""	"√pat 1 (fall)"	"a masc"	"295"	"{'vinipātaṃ': 286, 'vinipātena': 5, 'vinipātāya': 2, 'vinipāte': 1, 'vinipātā': 1}"
"iha"	"ind"	"place"	""	""	"294"	"{'iha': 294}"
"pattacīvara"	"nt"	"comp"	""	"a nt"	"293"	"{'pattacīvaraṃ': 285, 'pattacīvarāni': 6, 'pattacīvarehi': 2}"
"vinaya"	"masc"	""	"√nī 1 (lead, carry)"	"a masc"	"293"	"{'vinaye': 175, 'vinayaṃ': 46, 'vinayo': 28, 'vinayena': 19, 'vinayāya': 14, 'vinaya': 5, 'vinayasmiṃ': 2, 'vinayassa': 2, 'vinayā': 2}"
"vasa"	"masc"	""	"√vas 1 (want, control)"	"a masc"	"292"	"{'vasaṃ': 162, 'vase': 54, 'vasena': 21, 'vasā': 18, 'vaso': 14, 'vasa': 13, 'vasato': 9, 'vasāya': 1}"
"atthāya"	"masc"	"dat"	"√ar 1 (move, attain)"	"a masc"	"291"	"'atthāya': 291"
"ākaṅkhati"	"pr"	""	"√kaṅkh 1 (wish for)"	"ati pr"	"291"	"{'ākaṅkhati': 129, 'ākaṅkheyya': 78, 'ākaṅkhāmi': 37, 'ākaṅkhāma': 13, 'ākaṅkhasi': 11, 'ākaṅkhissasi': 10, 'ākaṅkhissati': 3, 'ākaṅkhanti': 2, 'ākaṅkhe': 2, 'ākaṅkheyyuṃ': 2, 'ākaṅkhatha': 1, 'ākaṅkheyyāsi': 1, 'ākaṅkha': 2}"
"jāyati"	"pr"	"pass"	"√jan 3 (be born, produce)"	"ati pr"	"290"	"{'jāyati': 196, 'jāyanti': 33, 'jāyetha': 27, 'jāyate': 23, 'jāyare': 5, 'jāyantu': 2, 'jāyeyyaṃ': 2, 'jāyasi': 1, 'jāyatha': 1}"
"pabbata"	"masc"	""	""	"a masc"	"290"	"{'pabbate': 108, 'pabbataṃ': 65, 'pabbatā': 52, 'pabbato': 38, 'pabbatassa': 20, 'pabbatānaṃ': 3, 'pabbatena': 2, 'pabbatesu': 2}"
"vineyya"	"ger"	""	"√nī 1 (lead, carry)"	""	"290"	"{'vineyya': 290}"
"bhatta"	"nt"	""	"√bhaj 1 (divide, distribute)"	"a nt"	"289"	"{'bhattaṃ': 185, 'bhattāni': 30, 'bhattā': 29, 'bhattena': 25, 'bhattāya': 6, 'bhattasmiṃ': 3, 'bhattassa': 3, 'bhattānaṃ': 2, 'bhatta': 2, 'bhatte': 1, 'bhattesu': 3}"
"gacchanta"	"prp"	""	"√gam 1 (go)"	"anta prp"	"288"	"{'gacchanto': 49, 'gacchantaṃ': 44, 'gacchantassa': 22, 'gacchaṃ': 20, 'gacchato': 18, 'gacchantiṃ': 16, 'gacchantena': 9, 'gacchantā': 4, 'gacchantī': 23, 'gacchantīnaṃ': 2, 'gacchante': 2, 'gacchantiyo': 1, 'gacchantānaṃ': 1, 'gacchataṃ': 1, 'gacchatī': 49}"
"paṭiggaṇhāti"	"pr"	""	"√gah 6 (grasp)"	"āti pr"	"288"	"{'paṭiggaṇhāti': 180, 'paṭiggaṇhātu': 32, 'paṭiggaṇhanti': 22, 'paṭiggaṇhāma': 21, 'paṭiggaṇheyya': 19, 'paṭiggaṇhāmi': 4, 'paṭiggaṇhatu': 3, 'paṭiggaṇheyyuṃ': 2, 'paṭiggaṇheyyāsi': 2, 'paṭiggaṇhatha': 2, 'paṭiggaṇhissanti': 1}"
"icchati"	"pr"	""	"√is 1 (wish for)"	"ati pr"	"287"	"{'icchati': 73, 'icchāma': 97, 'icchasi': 35, 'icchāmi': 27, 'icchanti': 11, 'icche': 11, 'iccheyya': 9, 'iccheyyāma': 6, 'iccheyyāsi': 5, 'iccheyyātha': 4, 'icchatha': 2, 'icchissāma': 2, 'icchissati': 2, 'icchissāmi': 1, 'iccheyyaṃ': 1, 'icchase': 1}"
"adinnādāna"	"nt"	"comp"	""	"a nt"	"286"	"{'adinnādānā': 194, 'adinnādānaṃ': 66, 'adinnādāne': 18, 'adinnādānassa': 6, 'adinnādānamhi': 1, 'adinnādānasmiṃ': 1}"
"apāya"	"masc"	""	"√i 1 (come, go)"	"a masc"	"286"	"{'apāyaṃ': 281, 'apāyā': 2, 'apāyesu': 1, 'apāyo': 1, 'apāyasmā': 1}"
"tādisa"	"adj"	""	""	"aī adj"	"286"	"{'tādiso': 121, 'tādisaṃ': 89, 'tādisā': 21, 'tādise': 19, 'tādisī': 16, 'tādisāni': 7, 'tādisena': 7, 'tādisīnaṃ': 1, 'tādisāya': 1, 'tādisiṃ': 1, 'tādisamhā': 1, 'tādisiyo': 1, 'tādisānaṃ': 1}"
"kappeti"	"pr"	"caus"	"√kapp 1 (be fit, be suitable)"	"eti pr"	"284"	"{'kappeti': 126, 'kappenti': 52, 'kappesi': 25, 'kappeyya': 21, 'kappemi': 17, 'kappessasi': 8, 'kappe': 8, 'kappeyyāma': 5, 'kappessanti': 4, 'kappessatha': 3, 'kappeyyuṃ': 2, 'kappeyyaṃ': 2, 'kappeyyāsi': 2, 'kappissanti': 2, 'kappehi': 1, 'kappessāma': 1, 'kappema': 1, 'kappetha': 4}"
"niccaṃ"	"ind"	"adv"	""	""	"284"	"{'niccaṃ': 284}"
"āroceti"	"pr"	"caus"	"√ruc 1 (shine, like)"	"eti pr"	"283"	"{'ārocesi': 128, 'āroceti': 43, 'ārocenti': 24, 'āroceyya': 12, 'āroceyyaṃ': 9, 'ārocehi': 11, 'āroceyyāma': 7, 'ārocessāma': 9, 'ārocessanti': 3, 'āroceyyāsi': 12, 'ārocemi': 3, 'āroceyyātha': 3, 'ārocessatha': 1, 'ārocessati': 5, 'ārocessaṃ': 1, 'ārocema': 4, 'āroceyyuṃ': 1, 'āroceyyāmi': 1, 'ārocessāmi': 4, 'ārocetu': 2}"
"ājānāti"	"pr"	""	"√ñā 5 (know)"	"āti pr"	"282"	"{'ājānāmi': 126, 'ājānāsi': 39, 'ājānanti': 24, 'ājānāma': 16, 'ājāneyyuṃ': 12, 'ājānātha': 11, 'ājānissasi': 9, 'ājāneyyāsi': 8, 'ājāneyyātha': 5, 'ājāneyyaṃ': 3, 'ājāneyya': 2, 'ājānissāmi': 9, 'ājānissatha': 1, 'ājāneyyāmi': 1, 'ājānāti': 1, 'ājānissati': 13, 'ājānissanti': 2}"
"dukkhanirodhagāmī"	"adj"	"comp"	""	"ī adj"	"282"	"{'dukkhanirodhagāminī': 214, 'dukkhanirodhagāminiyā': 41, 'dukkhanirodhagāminiṃ': 27}"
"nāpara"	"nt"	""	""	"a nt"	"281"	"{'nāparaṃ': 281}"
"rājakumāra"	"masc"	"comp"	""	"a masc"	"281"	"{'rājakumāra': 209, 'rājakumāro': 45, 'rājakumārassa': 17, 'rājakumāraṃ': 6, 'rājakumārena': 3, 'rājakumāre': 1}"
"upādāya"	"ind"	""	"√ādā 3 (take, seize)"	""	"281"	"{'upādāya': 281}"
"dhana"	"nt"	""	"√dhan 1 (be rich)"	"a nt"	"279"	"{'dhanaṃ': 163, 'dhanena': 80, 'dhanāni': 12, 'dhanassa': 11, 'dhane': 7, 'dhanā': 3, 'dhanānaṃ': 2, 'dhanamhi': 1}"
"avijjā"	"fem"	""	"√vid 3 (know, understand)"	"ā fem"	"278"	"{'avijjā': 168, 'avijjāya': 77, 'avijjaṃ': 33}"
"domanassa"	"nt"	""	"√man 3 (think)"	"a nt"	"278"	"{'domanassaṃ': 163, 'domanassehi': 73, 'domanassena': 26, 'domanassāni': 11, 'domanassassa': 3, 'domanassā': 2}"
"saṅkhā"	"fem"	""	"√khā 1 (tell, announce)"	"ā fem"	"278"	"{'saṅkhaṃ': 153, 'saṅkhā': 47, 'saṅkhāya': 53, 'saṅkhato': 14, 'saṅkha': 6, 'saṅkhāto': 3, 'saṅkhānaṃ': 2}"
"gāmaṇi"	"masc"	""	""	"i masc"	"277"	"{'gāmaṇi': 272, 'gāmaṇiṃ': 3, 'gāmaṇinā': 1, 'gāmaṇī': 1}"
"mukha"	"nt"	""	""	"a nt"	"277"	"{'mukhaṃ': 109, 'mukhato': 83, 'mukhena': 50, 'mukhe': 34, 'mukhassa': 1}"
"pacchima"	"adj"	""	""	"a adj"	"277"	"{'pacchimaṃ': 89, 'pacchime': 63, 'pacchimā': 38, 'pacchimāya': 35, 'pacchimo': 25, 'pacchimena': 21, 'pacchimāyaṃ': 2, 'pacchimehi': 4}"
"samāhita"	"pp"	""	"√dhā 1 (place, support)"	"a pp"	"277"	"{'samāhite': 105, 'samāhitaṃ': 68, 'samāhito': 58, 'samāhitā': 25, 'samāhitassa': 18, 'samāhitena': 2, 'samāhitehi': 1}"
"pīti"	"fem"	""	"√pī 5 (love, please)"	"i fem"	"276"	"{'pīti': 138, 'pītiyā': 119, 'pītiṃ': 19}"
"saṃsandati"	"pr"	""	"√sand 1 (flow)"	"ati pr"	"276"	"{'saṃsandanti': 231, 'saṃsandati': 21, 'saṃsandissanti': 16, 'saṃsandissati': 8}"
"dūra"	"adj"	""	"√dū 1 (go, run)"	"a adj"	"274"	"{'dūre': 150, 'dūrato': 117, 'dūraṃ': 4, 'dūrā': 1, 'dūra': 2}"
"aggivessana"	"masc"	"comp"	""	"a masc"	"273"	"{'aggivessana': 266, 'aggivessano': 3, 'aggivessanassa': 3, 'aggivessanaṃ': 1}"
"nara"	"masc"	""	""	"a masc"	"273"	"{'naro': 131, 'narā': 51, 'naraṃ': 41, 'narassa': 26, 'narānaṃ': 16, 'nare': 3, 'narena': 3, 'naresu': 2}"
"piyarūpa"	"adj"	"comp"	""	"a adj"	"273"	"{'piyarūpā': 106, 'piyarūpaṃ': 73, 'piyarūpānaṃ': 38, 'piyarūpe': 22, 'piyarūpāni': 18, 'piyarūpehi': 13, 'piyarūpena': 2, 'piyarūpesu': 1}"
"dhammika"	"adj"	""	"√dhar 1 (hold, carry, endure)"	"a adj"	"270"	"{'dhammiko': 72, 'dhammikaṃ': 68, 'dhammikā': 49, 'dhammika': 34, 'dhammikehi': 18, 'dhammikena': 8, 'dhammikassa': 7, 'dhammike': 6, 'dhammikānaṃ': 5, 'dhammikesu': 3}"
"parihāyati"	"pr"	""	"√hā 3 (decrease)"	"ati pr"	"270"	"{'parihāyanti': 223, 'parihāyati': 25, 'parihāyāmi': 12, 'parihāyissanti': 6, 'parihāyetha': 2, 'parihāyeyyuṃ': 1, 'parihāyatha': 1}"
"vigarahi"	"aor"	""	"√garah 1 (blame)"	"i aor"	"270"	"{'vigarahi': 270}"
"bhāradvāja"	"masc"	"name"	""	"a masc"	"269"	"{'bhāradvāja': 187, 'bhāradvājo': 66, 'bhāradvājaṃ': 10, 'bhāradvājassa': 5, 'bhāradvājena': 1}"
"cuta"	"pp"	""	"√cu 1 (shift, fall away, die)"	"a pp"	"269"	"{'cuto': 126, 'cutā': 118, 'cute': 15, 'cutaṃ': 9, 'cutāse': 1}"
"gati"	"fem"	""	"√gam 1 (go)"	"i fem"	"269"	"{'gati': 143, 'gatiṃ': 61, 'gatīnaṃ': 23, 'gatiyo': 18, 'gatī': 13, 'gatiyā': 10, 'gatīsu': 1}"
"sassata"	"adj"	""	""	"a adj"	"269"	"{'sassato': 167, 'sassataṃ': 79, 'sassatā': 21, 'sassatāyaṃ': 1, 'sassata': 1}"
"tīra"	"nt"	""	"√tir 1 (cross)"	"a nt"	"269"	"{'tīraṃ': 165, 'tīre': 97, 'tīresu': 3, 'tīrā': 2, 'tīramhi': 1, 'tīrena': 1}"
"upakkilesa"	"masc"	""	"√kilis 3 (be dirty, be molested)"	"a masc"	"269"	"{'upakkileso': 112, 'upakkilesā': 47, 'upakkilese': 43, 'upakkilesaṃ': 34, 'upakkilesehi': 20, 'upakkilesena': 13}"
"anāsava"	"adj"	""	"√su 1 (flow)"	"a adj"	"268"	"{'anāsavaṃ': 187, 'anāsavo': 47, 'anāsavā': 27, 'anāsavassa': 3, 'anāsave': 2, 'anāsavāse': 2}"
"vadamāna"	"prp"	""	"√vad 1 (say, speak)"	"māna prp"	"268"	"{'vadamāno': 228, 'vadamānā': 38, 'vadamānaṃ': 2}"
"dinna"	"pp"	""	"√dā 1 (give)"	"a pp"	"267"	"{'dinnaṃ': 183, 'dinnā': 40, 'dinne': 11, 'dinno': 16, 'dinnena': 7, 'dinnāni': 6, 'dinnassa': 4}"
"pubbaṇhasamayaṃ"	"ind"	"comp"	""	""	"267"	"{'pubbaṇhasamayaṃ': 267}"
"vacanīya"	"ptp"	""	"√vac 1 (say, speak)"	"a ptp"	"267"	"{'vacanīyaṃ': 114, 'vacanīyo': 109, 'vacanīyā': 44}"
"vatthu"	"nt"	""	"√vas 1 (live)"	"u nt"	"267"	"{'vatthūhi': 102, 'vatthussa': 46, 'vatthuṃ': 41, 'vatthūni': 33, 'vatthu': 27, 'vatthusmiṃ': 14, 'vatthunā': 2, 'vatthūnaṃ': 1, 'vatthū': 1}"
"khīṇa"	"pp"	""	"√khī 1 (destroy, exhaust)"	"a pp"	"266"	"{'khīṇā': 241, 'khīṇaṃ': 13, 'khīṇe': 5, 'khīṇo': 3, 'khīṇena': 2, 'khīṇasmiṃ': 1, 'khīṇāya': 1}"
"vana"	"nt"	""	""	"a nt"	"266"	"{'vane': 136, 'vanaṃ': 78, 'vanāni': 17, 'vanamhi': 10, 'vanā': 7, 'vanasmiṃ': 6, 'vanassa': 4, 'vanena': 3, 'vanato': 2, 'vanānaṃ': 1, 'vana': 2}"
"aneka"	"adj"	""	""	"eka adj"	"265"	"{'aneke': 199, 'anekāni': 42, 'anekā': 16, 'anekehi': 7, 'anekesaṃ': 1}"
"gantvā"	"abs"	""	"√gam 1 (go)"	""	"265"	"{'gantvā': 265}"
"gilāna"	"adj"	""	"√gilā 3 (be sick, tired)"	"a adj"	"265"	"{'gilāno': 75, 'gilānassa': 60, 'gilānā': 57, 'gilānāya': 35, 'gilānaṃ': 16, 'gilānena': 13, 'gilāne': 5, 'gilānānaṃ': 3, 'gilāna': 1}"
"pāṇa"	"masc"	""	"√an 1 (breath, blow)"	"a masc"	"265"	"{'pāṇā': 95, 'pāṇaṃ': 77, 'pāṇe': 30, 'pāṇānaṃ': 18, 'pāṇo': 17, 'pāṇehi': 14, 'pāṇesu': 10, 'pāṇena': 2, 'pāṇa': 2}"
"sādhukaṃ"	"ind"	""	"√sādh 3 (accomplish)"	""	"265"	"{'sādhukaṃ': 265}"
"yādisa"	"adj"	""	""	"aī adj"	"264"	"{'yādisā': 123, 'yādiso': 121, 'yādisaṃ': 11, 'yādisāni': 6, 'yādisī': 2, 'yādisa': 1}"
"bhariyā"	"fem"	""	"√bhar 1 (carry, support)"	"ā fem"	"263"	"{'bhariyā': 184, 'bhariyāyo': 25, 'bhariyaṃ': 19, 'bhariyāya': 17, 'bhariyānaṃ': 7, 'bhariyāhi': 6, 'bhariyāsu': 1, 'bhariya': 4}"
"kevala"	"adj"	""	""	"a adj"	"263"	"{'kevalassa': 162, 'kevalaṃ': 65, 'kevalo': 17, 'kevalā': 15, 'kevalāni': 4}"
"bahula"	"adj"	""	"√bah 1 (increase)"	"a adj"	"262"	"{'bahulaṃ': 250, 'bahulā': 7, 'bahulena': 1, 'bahulo': 4}"
"vimuccati"	"pr"	"pass"	"√muc 2 (release, free)"	"ati pr"	"262"	"{'vimuccati': 244, 'vimucceyya': 9, 'vimuccanti': 7, 'vimuccatu': 1, 'vimuccissati': 1}"
"aṭṭhāsi"	"aor"	""	"√ṭhā 1 (stand)"	"āsi aor"	"261"	"{'aṭṭhāsi': 171, 'aṭṭhaṃsu': 68, 'aṭṭhāsiṃ': 17, 'aṭṭhamhā': 5}"
"kālaṅkata"	"pp"	"comp vb"	""	"a pp"	"261"	"{'kālaṅkato': 147, 'kālaṅkatā': 60, 'kālaṅkate': 21, 'kālaṅkataṃ': 21, 'kālaṅkatāya': 5, 'kālaṅkatehi': 2, 'kālaṅkatānaṃ': 2, 'kālaṅkatāni': 2, 'kālaṅkatassa': 1}"
"sammodi"	"aor"	""	"√mud 1 (be soft, happy)"	"i aor"	"261"	"{'sammodi': 194, 'sammodiṃsu': 53, 'sammodiṃ': 10, 'sammodimha': 3, 'sammodimhā': 1}"
"āhāra"	"masc"	""	"√har 1 (take, seize)"	"a masc"	"260"	"{'āhāraṃ': 103, 'āhāro': 70, 'āhāre': 59, 'āhārā': 18, 'āhārānaṃ': 6, 'āhārena': 3, 'āhāresu': 1}"
"purisapuggala"	"masc"	"comp"	""	"a masc"	"260"	"{'purisapuggalassa': 135, 'purisapuggalo': 95, 'purisapuggalā': 21, 'purisapuggalaṃ': 9}"
"sappurisa"	"masc"	"comp"	""	"a masc"	"260"	"{'sappuriso': 139, 'sappurisānaṃ': 38, 'sappurisena': 26, 'sappurisaṃ': 21, 'sappurisā': 19, 'sappurisehi': 7, 'sappurisa': 6, 'sappurise': 3, 'sappurisassa': 1}"
"mahāmoggallāna"	"masc"	"comp"	""	"a masc"	"259"	"{'mahāmoggallāno': 167, 'mahāmoggallānaṃ': 54, 'mahāmoggallānassa': 31, 'mahāmoggallānena': 6, 'mahāmoggallāne': 1}"
"vepulla"	"nt"	""	"√pul 8 (increase)"	"a nt"	"259"	"{'vepullaṃ': 130, 'vepullāya': 120, 'vepullassa': 6, 'vepullāni': 2, 'vepullānaṃ': 1}"
"bhāvanā"	"fem"	"caus"	"√bhū 1 (be)"	"ā fem"	"258"	"{'bhāvanāya': 186, 'bhāvanaṃ': 42, 'bhāvanā': 30}"
"pacchā"	"ind"	"time"	""	""	"258"	"{'pacchā': 258}"
"micchādiṭṭhi"	"adj"	"comp"	""	"i adj"	"257"	"{'micchādiṭṭhi': 168, 'micchādiṭṭhiyā': 39, 'micchādiṭṭhiṃ': 20, 'micchādiṭṭhī': 15, 'micchādiṭṭhissa': 10, 'micchādiṭṭhino': 5}"
"jīva"	"nt"	""	"√jīv 1 (live)"	"a nt"	"256"	"{'jīvaṃ': 198, 'jīve': 21, 'jīva': 19, 'jīvā': 9, 'jīvato': 7, 'jīvassa': 1, 'jīvena': 1}"
"puthujjana"	"masc"	""	""	"a masc"	"255"	"{'puthujjano': 187, 'puthujjanassa': 25, 'puthujjanena': 13, 'puthujjanehi': 11, 'puthujjanā': 9, 'puthujjanaṃ': 5, 'puthujjanānaṃ': 3, 'puthujjane': 1, 'puthujjana': 1}"
"vītisāretvā"	"abs"	"caus"	"√sar 1 (go, flow)"	""	"255"	"{'vītisāretvā': 255}"
"vuddhi"	"fem"	""	"√vaddh 1 (grow, increase)"	"i fem"	"255"	"{'vuddhiṃ': 86, 'vuddhi': 162, 'vuddhīnaṃ': 4, 'vuddhiyo': 3}"
"hattha"	"masc"	""	""	"a masc"	"254"	"{'hatthena': 65, 'hatthe': 50, 'hatthehi': 36, 'hatthato': 25, 'hatthaṃ': 21, 'hatthā': 27, 'hatthesu': 12, 'hattho': 9, 'hattha': 7, 'hatthānaṃ': 2}"
"sammodanīya"	"adj"	""	"√mud 1 (be soft, happy)"	"a adj"	"254"	"{'sammodanīyaṃ': 254}"
"vivicca"	"ger"	""	"√vic 1 (separate)"	""	"254"	"{'vivicca': 254}"
"abhikkantaṃ"	"ind"	""	"√kam 1 (go)"	""	"253"	"{'abhikkantaṃ': 253}"
"ceteti"	"pr"	""	"√cit 8 (think, intend)"	"eti pr"	"253"	"{'ceteti': 227, 'cetessasi': 9, 'cete': 5, 'ceteyyaṃ': 4, 'cetemi': 2, 'ceteyyuṃ': 2, 'cetehi': 2, 'cetessanti': 1, 'cetesi': 1}"
"nivāsetvā"	"abs"	""	"√vas 8 (wear, dress)"	""	"253"	"{'nivāsetvā': 253}"
"pahitatta"	"adj"	"comp"	""	"a adj"	"253"	"{'pahitatto': 121, 'pahitattassa': 79, 'pahitattā': 28, 'pahitattena': 14, 'pahitattehi': 4, 'pahitattānaṃ': 3, 'pahitattaṃ': 2, 'pahitatte': 2}"
"amanāpa"	"adj"	""	""	"a adj"	"252"	"{'amanāpo': 70, 'amanāpaṃ': 68, 'amanāpā': 53, 'amanāpena': 26, 'amanāpānaṃ': 19, 'amanāpassa': 8, 'amanāpāya': 4, 'amanāpehi': 3, 'amanāpāhi': 1}"
"sutta"	"nt"	""	"√sup 1 (lie down, sleep)"	"a nt"	"252"	"{'suttaṃ': 100, 'sutte': 65, 'suttassa': 17, 'suttāni': 17, 'suttā': 16, 'sutto': 13, 'suttena': 10, 'suttesu': 10, 'suttāya': 2, 'suttehi': 1, 'sutta': 1}"
"tāvatiṃsa"	"adj"	""	""	"a adj"	"252"	"{'tāvatiṃsā': 103, 'tāvatiṃsānaṃ': 88, 'tāvatiṃse': 32, 'tāvatiṃsesu': 24, 'tāvatiṃsehi': 5}"
"tāvatiṃsa"	"masc"	"comp"	""	"a masc"	"252"	"{'tāvatiṃsā': 103, 'tāvatiṃsānaṃ': 88, 'tāvatiṃse': 32, 'tāvatiṃsesu': 24, 'tāvatiṃsehi': 5}"
"vedayita"	"nt"	""	"√vid 8 (know, sense, feel)"	"a nt"	"252"	"{'vedayitaṃ': 234, 'vedayitāni': 10, 'vedayitena': 6, 'vedayite': 2}"
"visākha"	"adj"	""	""	"a adj"	"252"	"{'visākhe': 146, 'visākha': 57, 'visākhā': 21, 'visākho': 13, 'visākhaṃ': 11, 'visākhāya': 4}"
"sammappaññā"	"fem"	"comp"	""	"ā fem"	"251"	"{'sammappaññāya': 249, 'sammappaññā': 2}"
"bahulaṃ"	"ind"	""	"√bah 1 (increase)"	""	"250"	"{'bahulaṃ': 250}"
"gaccheyya"	"opt"	""	""	"eyya opt"	"250"	""
"aveccappasāda"	"masc"	"comp"	""	"a masc"	"249"	"{'aveccappasādena': 228, 'aveccappasādo': 10, 'aveccappasādaṃ': 6, 'aveccappasāde': 5}"
"rāhula"	"masc"	"name"	""	"a masc"	"249"	"{'rāhula': 187, 'rāhulo': 37, 'rāhulaṃ': 19, 'rāhulassa': 4, 'rāhulā': 2}"
"gameti"	"pr"	"caus"	"√gam 1 (go)"	"eti pr"	"248"	"{'gameti': 59, 'gamissāmi': 65, 'gamissanti': 27, 'gamissasi': 29, 'gamissati': 19, 'gamenti': 16, 'gamissāma': 32, 'gamemi': 1}"
"yoniso"	"ind"	""	""	""	"248"	"{'yoniso': 248}"
"aho"	"ind"	""	""	""	"247"	"{'aho': 247}"
"kalyāṇa"	"adj"	""	""	"aī adj"	"247"	"{'kalyāṇo': 85, 'kalyāṇaṃ': 76, 'kalyāṇī': 21, 'kalyāṇassa': 18, 'kalyāṇi': 12, 'kalyāṇena': 12, 'kalyāṇe': 9, 'kalyāṇāni': 6, 'kalyāṇā': 5, 'kalyāṇiyā': 3}"
"paripūreti"	"pr"	"caus"	"√pūr 1 (fill, fulfil)"	"eti pr"	"247"	"{'paripūreti': 120, 'paripūrenti': 104, 'paripūressāmi': 10, 'paripūreyya': 6, 'paripūrissanti': 2, 'paripūressati': 1, 'paripūrehi': 1, 'paripūressanti': 3}"
"dhammena"	"ind"	"adv"	"√dhar 1 (hold, carry, endure)"	""	"246"	"{'dhammena': 246}"
"evaṃdiṭṭhī"	"adj"	"comp"	""	"ī adj"	"245"	"{'evaṃdiṭṭhino': 124, 'evaṃdiṭṭhi': 104, 'evaṃdiṭṭhī': 11, 'evaṃdiṭṭhiṃ': 3, 'evaṃdiṭṭhīsu': 3}"
"kanta"	"adj"	""	"√kam 8 (desire)"	"a adj"	"245"	"{'kantā': 140, 'kantāya': 33, 'kanto': 23, 'kantaṃ': 15, 'kantehi': 14, 'kantānaṃ': 13, 'kantena': 4, 'kantassa': 1, 'kanta': 1, 'kante': 1}"
"kuto"	"ind"	"place"	""	""	"245"	"{'kuto': 245}"
"cārikā"	"fem"	""	"√car 1 (move, walk)"	"ā fem"	"243"	"{'cārikaṃ': 242, 'cārikāya': 1}"
"mātāpitar"	"masc"	"comp"	""	"ar2 masc"	"243"	"{'mātāpitaro': 137, 'mātāpitūnaṃ': 57, 'mātāpitūsu': 18, 'mātāpitūhi': 13, 'mātāpitā': 12, 'mātāpitu': 3, 'mātāpitunnaṃ': 2, 'mātāpitarā': 1}"
"pharitvā"	"abs"	""	"√phar 1 (suffuse, pervade)"	""	"243"	"{'pharitvā': 243}"
"purima"	"adj"	""	""	"a adj"	"243"	"{'purimaṃ': 107, 'purimehi': 27, 'purimāni': 23, 'purimā': 20, 'purimena': 19, 'purime': 12, 'purimāyo': 12, 'purimāsu': 6, 'purimassa': 3, 'purimo': 8, 'purimasmiṃ': 2, 'purimāya': 2, 'purimāhi': 1, 'purima': 1}"
"accayena"	"ind"	"adv"	"√i 1 (come, go)"	""	"242"	"{'accayena': 242}"
"micchādiṭṭhi"	"fem"	"comp"	""	"i fem"	"242"	"{'micchādiṭṭhi': 168, 'micchādiṭṭhiyā': 39, 'micchādiṭṭhiṃ': 20, 'micchādiṭṭhī': 15}"
"sabbattha"	"ind"	"place"	""	""	"242"	"{'sabbattha': 242}"
"iṭṭha"	"adj"	""	"√is 1 (wish for)"	"a adj"	"241"	"{'iṭṭhā': 139, 'iṭṭhāya': 32, 'iṭṭho': 20, 'iṭṭhehi': 14, 'iṭṭhānaṃ': 13, 'iṭṭhaṃ': 13, 'iṭṭhassa': 4, 'iṭṭhena': 4, 'iṭṭhe': 2}"
"jhāyī"	"masc"	""	"√jhā 3 (think, meditate)"	"ī masc"	"241"	"{'jhāyī': 176, 'jhāyīnaṃ': 24, 'jhāyino': 16, 'jhāyinaṃ': 6, 'jhāyiṃ': 5, 'jhāyibhi': 4, 'jhāyinā': 4, 'jhāyi': 2, 'jhāyissa': 2, 'jhāyīhi': 2}"
"sammukhā"	"ind"	""	""	""	"241"	"{'sammukhā': 241}"
"upāsikā"	"fem"	""	"√ās 1 (sit)"	"ā fem"	"241"	"{'upāsikā': 134, 'upāsikānaṃ': 33, 'upāsikāyo': 23, 'upāsikāya': 20, 'upāsikaṃ': 15, 'upāsikāhi': 13, 'upāsikāsu': 3}"
"vāyamati"	"pr"	""	"√yam 1 (control, strive, end)"	"ati pr"	"241"	"{'vāyamati': 197, 'vāyamantaṃ': 18, 'vāyameyyātha': 8, 'vāyamissāmi': 4, 'vāyamissati': 4, 'vāyama': 3, 'vāyameyya': 2, 'vāyamase': 2, 'vāyamissāma': 1, 'vāyame': 1, 'vāyamassu': 1}"
"pare"	"ind"	"adv"	""	""	"240"	"{'pare': 240}"
"anta"	"masc"	""	""	"a masc"	"239"	"{'anto': 91, 'antaṃ': 68, 'ante': 31, 'antā': 8, 'antassa': 3, 'antena': 2, 'antesu': 1, 'anta': 32, 'antānaṃ': 3}"
"pharusa"	"adj"	""	""	"a adj"	"239"	"{'pharusāya': 124, 'pharusaṃ': 40, 'pharusā': 30, 'pharusena': 21, 'pharuso': 12, 'pharusāhi': 10, 'pharusasmiṃ': 1, 'pharusassa': 1}"
"rukkha"	"masc"	""	""	"a masc"	"239"	"{'rukkho': 71, 'rukkhassa': 55, 'rukkhā': 45, 'rukkhaṃ': 41, 'rukkhe': 9, 'rukkhena': 5, 'rukkhānaṃ': 4, 'rukkha': 3, 'rukkhehi': 3, 'rukkhasmiṃ': 2, 'rukkhato': 1}"
"visākhā"	"fem"	"name"	""	"ā fem"	"239"	"{'visākhe': 146, 'visākha': 57, 'visākhā': 21, 'visākhaṃ': 11, 'visākhāya': 4}"
"dīgha"	"adj"	""	""	"a adj"	"238"	"{'dīghaṃ': 99, 'dīghena': 47, 'dīghassa': 27, 'dīgho': 21, 'dīgha': 23, 'dīghā': 12, 'dīghato': 5, 'dīghānaṃ': 2, 'dīghāhi': 1, 'dīghe': 1}"
