id	pali_1	Fin	sbs_class_anki	sbs_category	pos	grammar	derived_from	neg	verb	trans	plus_case	meaning_1	ru_meaning	sbs_meaning	root_pali	root_base	construction	phonetic	derivative	suffix	compound_type	compound_construction	sanskrit	root_sk	variant	commentary	notes	sbs_notes	ru_notes	source_1	sutta_1	example_1	sbs_chant_pali_1	sbs_chant_eng_1	sbs_chapter_1	source_2	sutta_2	example_2	sbs_chant_pali_2	sbs_chant_eng_2	sbs_chapter_2	sbs_source_3	sbs_sutta_3	sbs_example_3	sbs_chant_pali_3	sbs_chant_eng_3	sbs_chapter_3	sbs_source_4	sbs_sutta_4	sbs_example_4	sbs_chant_pali_4	sbs_chant_eng_4	sbs_chapter_4	sbs_source_5	sbs_sutta_5	sbs_example_5	sbs_chant_pali_5	sbs_chant_eng_5	sbs_chapter_5	sbs_index	stem	pattern	test	sbs_class	count	sbs_audio	move	Feedback
41950	papañca	ppp	1		masc		papañceti					various opinions; proliferation; endless conceptualization; lit. expanding; spreading			√pañc 8 *e (to expand, spread)		pa + √pañc + a		kita	a			prapañca	√pac						AN 8.30	anuruddha mahāvitakkasuttaṃ	nippapañc'ārāmass'āyaṃ dhammo nippapañcaratino n'āyaṃ dhammo <b>papañc</b>'ārāmassa <b>papañca</b>ratino'ti				SNP 1	uragasuttaṃ<br/>uragavaggo 1	yo n'āccasārī na paccasārī,<br/>sabbaṃ accagamā imaṃ <b>papañcaṃ</b>,<br/>so bhikkhu jahāti orapāraṃ,<br/>urago jiṇṇam'iva tacaṃ purāṇaṃ.				AN 4.174	ānandasuttaṃ	yāvatā papañcassa gati tāvatā channaṃ phass'āyatanānaṃ gati. channaṃ, āvuso, phass'āyatanānaṃ asesavirāganirodhā <b>papañca</b>nirodho <b>papañca</b>vūpasamo'ti.				MN 18	madhupiṇḍikasuttaṃ	yatonidānaṃ, bhikkhu, purisaṃ <b>papañca</b>saññāsaṅkhā samudācaranti. ettha ce n'atthi abhinanditabbaṃ abhivaditabbaṃ ajjhositabbaṃ.				SNP 49	kalahavivādasuttaṃ<br/>aṭṭhakavaggo 11	na saññasaññī na visaññasaññī, no'pi asaññī na vibhūtasaññī. evaṃ sametassa vibhoti rūpaṃ, saññānidānā hi <b>papañca</b>saṅkhā.					papañc	a masc	47	2	85	[sound:papañca.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=papañca&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
53351	saṅghādisesa 2	pp	1		masc	comp						offence requiring suspension; lit. offence requiring involvement of the community from start to finish					saṅgha + ādi + sesa				sattamī tappurisa	saṅgha + ādises<b>e</b>	saṃghāvaśeṣa			(VIN 6.8.5) <b>saṅghādiseso</b>'ti yaṃ vuttaṃ,<br/>taṃ suṇohi yathātathaṃ,<br/>saṅgho'va deti parivāsaṃ,<br/>mūlāya paṭikassati,<br/>mānattaṃ deti abbheti,<br/>ten'etaṃ iti vuccati.				VIN PAT SA 1	sukkavissaṭṭhisikkhāpadaṃ	sañcetanikā sukkavissaṭṭhi aññatra supin'antā <b>saṅghādiseso</b>.				VIN 1.2.1	sukkavissaṭṭhisikkhāpadaṃ	tass'eva āpattinikāyassa nāmakammaṃ adhivacanaṃ. tena'pi vuccati, <b>saṅghādiseso</b>'ti.				VIN PAT SA 10	saṅghabheda sikkhāpada	yāvatatiyañ'ce samanubhāsiyamāno taṃ paṭinissajjeyya, icc'etaṃ kusalaṃ. no ce paṭinissajjeyya, <b>saṅghādiseso.</b>																	saṅghādises	a masc	47	2	454	[sound:saṅghādisesa.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=saṅghādisesa 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
52938	saṃyojana 1	pp	1	e	nt		saṃyojeti		caus			fetter; chain; bond; thing which binds; lit. yoking together			√yuj 2 *e (to yoke, join)	√yuj + *e > yoje (caus)	saṃ + yoje + ana	u > o	kita	ana			saṃyojana	√yuj		(THa) <b>saṃyojanan</b>'ti vaṭṭadukkhena saddhiṃ santānaṃ saṃyojanato vaṭṭe osīdāpanasamatthaṃ dasavidham'pi saṃyojanaṃ.<br/>(SNa) <b>kiṃ su saṃyojano</b>'ti kiṃ saṃyojano kiṃ bandhano?				DHP 31	appamādavaggo	appamādarato bhikkhu,<br/>pamāde bhayadassi vā,<br/><b>saṃyojanaṃ</b> aṇuṃ thūlaṃ,<br/>ḍahaṃ aggī'va gacchati.				MN 107	gaṇakamoggallānasuttaṃ	ye pana te bhikkhū arahanto khīṇ'āsavā vusitavanto katakaraṇīyā ohitabhārā anuppattasadatthā parikkhīṇabhava<b>saṃyojanā</b> sammadaññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti.				MN 10.13	mahāsatipaṭṭhānasuttaṃ	yathā ca uppannassa <b>saṃyojanassa</b> pahānaṃ hoti tañ'ca pajānāti, yathā ca pahīnassa <b>saṃyojanassa</b> āyatiṃ anuppādo hoti tañ'ca pajānāti.				SN 35.232	koṭṭhikasuttaṃ	kiṃ nu kho, āvuso sāriputta, cakkhu rūpānaṃ <b>saṃyojanaṃ</b>, rūpā cakkhussa <b>saṃyojanaṃ</b>				SN 22.101	vāsijaṭasuttaṃ	evam'eva kho, bhikkhave, bhāvan'ānuyogaṃ anuyuttassa bhikkhuno viharato appakasiren'eva <b>saṃyojanāni</b> paṭippassambhanti pūtikāni bhavantī'ti.					saṃyojan	a nt	47	9	623	[sound:saṃyojana.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=saṃyojana 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
15105	brahmacariya 1	ss	1	e	nt	comp						spiritual path; spiritual practice; holy life; celibacy					brahma + cariya				kammadhāraya	brahma + cariya	brahmacarya			(SNa) <b>brahmacariyan</b>'ti methunavirati.				VIN PAT SA 8	duṭṭhadosasikkhāpadaṃ	yo pana bhikkhu bhikkhuṃ duṭṭho doso appatīto amūlakena pārājikena dhammena anuddhaṃseyya app'eva nāma naṃ imamhā <b>brahmacariyā</b> cāveyyan'ti				MN 107	gaṇakamoggallānasuttaṃ	n'eva davāya, na madāya na maṇḍanāya na vibhūsanāya, yāva'd'eva imassa kāyassa ṭhitiyā yāpanāya, vihiṃs'ūparatiyā <b>brahmacariy</b>'ānuggahāya	Anupubba-sikkhā	The Gradual Training	Teachings	DN 16.21	mahāparinibbānasuttaṃ	yatha'y'idaṃ <b>brahmacariyaṃ</b> addhaniyaṃ assa ciraṭṭhitikaṃ, tadassa bahujanahitāya bahujanasukhāya lok'ānukampāya atthāya hitāya sukhāya devamanussānaṃ	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings	MN 39	mahāassapurasuttaṃ	vimuttasmiṃ vimuttam'iti ñāṇaṃ hoti, khīṇā jāti, vusitaṃ <b>brahmacariyaṃ</b>, kataṃ karaṇīyaṃ, n'āparaṃ itthattāyā'ti pajānāti	Anupubba-sikkhā	The Gradual Training	Teachings	SN 22.96	gomayapiṇḍasuttaṃ	ettako ce'pi, bhikkhu, attabhāvapaṭilābho abhavissa nicco dhuvo sassato avipariṇāmadhammo, na'y'idaṃ <b>brahmacariya</b>vāso paññāyetha sammā dukkhakkhayāya.				19n	brahmacariy	a nt	47	9	1035	[sound:brahmacariya.mp3]	moved	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=brahmacariya 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
45899	pavāraṇā 2	pp	1		fem		pavāreti					(vinaya) invitation ceremony at the end of the rains retreat; lit. inviting			√var 8 *e (to wish, choose)	√var + *e > vāre	pa + vāre + anā	a > ā	kita	anā			pravāraṇa	√vṛ						MN 118	ānāpānassatisuttaṃ	tena kho pana samayena bhagavā tadah'uposathe pannarase <b>pavāraṇāya</b> puṇṇāya puṇṇamāya rattiyā bhikkhusaṅghaparivuto abbhokāse nisinno hoti.				VIN 2.5.7.9	ukkhittasambhogasikkhāpadaṃ	saṃvaseyya vā'ti ukkhittakena saddhiṃ uposathaṃ vā <b>pavāraṇaṃ</b> vā saṅghakammaṃ vā karoti, āpatti pācittiyassa.				DHPa 1.1.1	cakkhupālatthera vatthu	upakaṭṭhāya <b>pavāraṇāya</b> sabb'eva saha paṭisambhidāhi arahattaṃ pāpuṇiṃsu																	pavāraṇ	ā fem	47		23	[sound:pavāraṇā.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=pavāraṇā 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
18688	dhamma 1.09	pp	1		masc		dharati					law; case; rule			√dhar 1 a (to hold, carry, endure)		√dhar + ma	r > m	kita	ma			dharma	√dhṛ						VIN PAT PC 63	ukkoṭanasikkhāpadaṃ	yo pana bhikkhu jānaṃ yathā<b>dhammaṃ</b> nihat'ādhikaraṇaṃ punakammāya ukkoṭeyya, pācittiyaṃ.				VIN PAT PC 73	mohanasikkhāpadaṃ	yo pana bhikkhu anvaddhamāsaṃ pātimokkhe uddissamāne evaṃ vadeyya, idān'eva kho ahaṃ jānāmi, ayam'pi kira <b>dhammo</b> sutt'āgato suttapariyāpanno anvaddhamāsaṃ uddesaṃ āgacchatī'ti.				VIN PAT SA	saṅghādisesuddeso	uddiṭṭhā kho, āyasmanto, terasa saṅghādisesā <b>dhammā</b>, nava paṭham'āpattikā cattāro yāvatatiyakā.																	dhamm	a masc	47	2	12531	[sound:dhamma.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=dhamma 1.09&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
24804	indriyasaṃvara	pp	1		masc	comp						control of the mind; sense restraint					indriya + saṃvara				sattamī tappurisa	indriy<b>esu</b> + saṃvara	indriya + saṃvara							DN 2.16	sāmaññaphalasuttaṃ	so iminā ariyena <b>indriyasaṃvarena</b> samannāgato ajjhattaṃ abyāsekasukhaṃ paṭisaṃvedeti				MN 112	chabbisodhanasuttaṃ	so iminā ca ariyena sīlakkhandhena samannāgato, imāya ca ariyāya santuṭṭhiyā samannāgato, iminā ca ariyena <b>indriyasaṃvarena</b> samannāgato, iminā ca ariyena satisampajaññena samannāgato vivittaṃ sen'āsanaṃ bhajiṃ				AN 10.61	avijjāsuttaṃ	tīṇi'p'āhaṃ sucaritāni sāhārāni vadāmi, no anāhārāni. ko c'āhāro tiṇṇaṃ sucaritānaṃ? <b>indriyasaṃvaro'</b>ti'ssa vacanīyaṃ.				AN 10.73	iṭṭhadhammasuttaṃ	kalyāṇamittatā sīlānaṃ āhāro, <b>indriyasaṃvaro</b> brahmacariyassa āhāro, avisaṃvādanā mittānaṃ āhāro											indriyasaṃvar	a masc	47			[sound:indriyasaṃvara.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=indriyasaṃvara&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
65289	vassa 2	pp	1		masc		vassati					rainy season; monsoon			√vass 1 a (to rain)		√vass + a		kita	a			varṣa	√vṛṣ						DHP 286	maggavaggo	idha <b>vassaṃ</b> vasissāmi,<br/>idha hem'antagimhisu,<br/>iti bālo vicinteti,<br/>antarāyaṃ na bujjhati.				VIN 1.0	verañjakaṇḍaṃ	adhivāsetu ca me bhavaṃ gotamo verañjāyaṃ <b>vassa</b>-avāsaṃ saddhiṃ bhikkhusaṅghenā'ti				VIN 1.1.4	catutthapārājikaṃ	tena kho pana samayena sambahulā bhikkhū katikaṃ katvā aññatarasmiṃ āvāse <b>vassaṃ</b> upagacchiṃsu																	vass	a masc	47	2	178	[sound:vassa.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vassa 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
15603	cāga 2	pn	1		masc		cajati					generosity; sharing; liberality			√caj 1 a (to give up, let go)		√caj > cāg + *a	a > ā<br/>j > g	kita	*a			tyāga	√tyaj						AN 7.6	vitthatadhanasuttaṃ	idha, bhikkhave, ariyasāvako vigatamalamaccherena cetasā agāraṃ ajjhāvasati mutta<b>cāgo</b> payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. idaṃ vuccati, bhikkhave, <b>cāga</b>dhanaṃ.				SN 37.34	vaḍḍhīsuttaṃ	saddhāya vaḍḍhati, sīlena vaḍḍhati, sutena vaḍḍhati, <b>cāgena</b> vaḍḍhati, paññāya vaḍḍhati.				AN 3.71	uposathasuttaṃ	tassa attano ca tāsañ'ca devatānaṃ saddhañ'ca sīlañ'ca sutañ'ca <b>cāgañ</b>'ca paññañ'ca anussarato cittaṃ pasīdati																	cāg	a masc	47	2	159	[sound:cāga.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=cāga 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
33862	mettā	ps	1		fem		mitta					goodwill (towards); friendliness (to); benevolence (for)			√mitt 1 a (to be friendly)		√mitt > mett + *ā	i > e	kita	*ā			maitra	√mith						KHP 9	karaṇīya mettasuttaṃ	<b>mettañ</b>'ca sabbalokasmi,<br/>mānasaṃ bhāvaye aparimāṇaṃ,<br/>uddhaṃ adho ca tiriyañ'ca,<br/>asambādhaṃ averamasapattaṃ.	Karaṇīya-metta-sutta	The Buddha's Words on Loving-Kindness	Protective Recitations	MN 40	cūḷāssapurasuttaṃ	evam'eva kho, bhikkhave, khattiyakulā ce'pi agārasmā anagāriyaṃ pabbajito hoti, so ca tathāgatappaveditaṃ dhammavinayaṃ āgamma, evaṃ <b>mettaṃ</b> karuṇaṃ muditaṃ upekkhaṃ bhāvetvā labhati ajjhattaṃ vūpasamaṃ.				SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	tasmā hi bhūtā nisāmetha sabbe, <b>mettaṃ</b> karotha mānusiyā pajāya. <br/>divā ca ratto ca haranti ye baliṃ, tasmā hi ne rakkhatha appamattā.	Ratana-sutta		Protective Recitations	AN 11.15	mettāsuttaṃ	<b>mettāya</b> cetovimuttiyā āsevitāya bhāvitāya bahulīkatāya yānīkatāya vatthukatāya anuṭṭhitāya paricitāya susamāraddhāya ekādas'ānisaṃsā pāṭikaṅkhā.										52n	mett	ā fem	47	7	149	[sound:mettā.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mettā&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
13954	bhante	ss	1	e	masc	voc sg	bhavant					sir(s); lord(s); venerable sir(s); reverend(s)			√bhad 1 a (to be good, lucky)		√bhad + anta + e<br/>bhadanta + e						bhavantaḥ	√bhand						MN 107	gaṇakamoggallānasuttaṃ	taṃ kiṃ maññasi, brāhmaṇa, idha puriso āgaccheyya rājagahaṃ gantu'kāmo. so taṃ upasaṅkamitvā evaṃ vadeyya, icchām'ahaṃ, <b>bhante</b>, rājagahaṃ gantuṃ, tassa me rājagahassa maggaṃ upadisā'ti.				AN 10.58	mūlakasuttaṃ	bhagavaṃmūlakā no, bhante, dhammā bhagavaṃnettikā bhagavaṃpaṭisaraṇā. sādhu vata, <b>bhante</b>, bhagavantaṃ'y'eva paṭibhātu etassa bhāsitassa attho. bhagavato sutvā bhikkhū dhāressantī'ti.				SN 22.59	anattalakkhaṇasuttaṃ	taṃ kiṃ maññatha, bhikkhave, rūpaṃ niccaṃ vā aniccaṃ vā'ti? aniccaṃ, <b>bhante</b>.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas	AN 8.53	saṃkhittasuttaṃ	sādhu me, <b>bhante</b>, bhagavā saṃkhittena dhammaṃ desetu, yam'ahaṃ bhagavato dhammaṃ sutvā ekā vūpakaṭṭhā appamattā ātāpinī pahit'attā vihareyyan'ti	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	DN 14.13	mahāpadānasuttaṃ	seyyathā'pi, <b>bhante</b>, nikkujjitaṃ vā ukkujjeyya, paṭicchannaṃ vā vivareyya, mūḷhassa vā maggaṃ ācikkheyya, andhakāre vā telapajjotaṃ dhāreyya, cakkhumanto rūpāni dakkhantī'ti. evam'evaṃ bhagavatā anekapariyāyena dhammo pakāsito.				38n	!*	bhavant masc	47			[sound:bhante.mp3]	moved	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bhante&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
