Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio	Feedback
papañca	ppp	1	masc				papañceti			various opinions; proliferation; endless conceptualization; lit. expanding; spreading 			√pañc 8 *e (to expand, spread)		pa + √pañc + a	prapañca	√pac				MN 18	madhupiṇḍikasuttaṃ	yatonidānaṃ, bhikkhu, purisaṃ <b>papañca</b>-saññāsaṅkhā samudācaranti. ettha ce n’atthi abhinanditabbaṃ abhivaditabbaṃ ajjhositabbaṃ.				SNP 49	kalahavivādasuttaṃ<br/>aṭṭhakavaggo 11	na saññasaññī na visaññasaññī, no’pi asaññī na vibhūtasaññī. evaṃ sametassa vibhoti rūpaṃ, saññā-nidānā hi <b>papañca</b>-saṅkhā.				AN 4.174	ānandasuttaṃ	yāvatā papañcassa gati tāvatā channaṃ phass'āyatanānaṃ gati. channaṃ, āvuso, phass'āyatanānaṃ asesavirāganirodhā <b>papañca</b>-nirodho <b>papañca</b>-vūpasamo'ti.					papañc	a masc	83	2	85	[sound:papañca.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=papañca&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
vassa 2	pp	1	masc		vassati					rainy season; monsoon			√vass 1 a (to rain)		√vass + a	varṣa	√vṛṣ				DHP 286	maggavaggo	'idha <b>vassaṃ</b> vasissāmi, idha hem’anta-gimhisu; <br/>iti bālo vicinteti, antarāyaṃ na bujjhati.'										VIN 1.1.4	catutthapārājikaṃ	tena kho pana samayena sambahulā bhikkhū katikaṃ katvā aññatarasmiṃ āvāse <b>vassaṃ</b> upagacchiṃsu					vass	a masc	83	2	178	[sound:vassa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vassa 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
sālā	pps	1	fem							hall						śālā					VIN 4.1.12	uruvela pāṭihāriya kathā	sace te, kassapa, agaru, viharemu ajjuṇho aggi-<b>sālamhī</b>’ti				AN 8.53	saṃkhittasuttaṃ	ekaṃ samayaṃ bhagavā vesāliyaṃ viharati mahāvane kūṭ'āgāra-<b>sālāyaṃ</b>						khemakā <b>sālā</b> sāsan'ārakkhe hoti			SBS	00n	sāl	ā fem	83	7	200	[sound:sālā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sālā&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
brahmavihāra	pns	1	masc	comp						sublime state; heavenly state; lit. divine dwelling					brahma + vihāra	brahmavihāra					MN 83	maghadevasuttaṃ	so cattāro <b>brahmavihāre</b> bhāvetvā kāyassa bhedā paraṃ maraṇā brahmalok’ūpago ahosi				SN 54.12	kaṅkheyyasuttaṃ	ānāpānassatisamādhiṃ sammā vadamāno vadeyya — ariyavihāro iti'pi, <b>brahmavihāro</b> iti'pi, tathāgatavihāro iti'pi.						handa mayaṁ catura-<b>brahmavihārā</b> obhāsanaṁ karomase	Brahmavihārā	The Divine Abidings	Reflections	32n	brahmavihār	a masc	83			[sound:brahmavihāra.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=brahmavihāra&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
chanda 1	ss	1	masc		chādeti					interest (in); desire (for); wish (for); intention (to); impulse (for)			√chand 8 *e (to desire, please)		√chand + a	chanda	√chad									Teachings	SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	khīṇaṃ purāṇaṃ navaṃ n’atthi sambhavaṃ, viratta-citt’āyatike bhavasmiṃ.  <br/>te khīṇa-bījā avirūḷhi-<b>chandā</b>,  nibbanti dhīrā yath'āyaṃ padīpo.	Ratana-sutta		Protective Recitations	DN 22.18	mahāsatipaṭṭhānasuttaṃ	anuppannānaṃ kusalānaṃ dhammānaṃ uppādāya <b>chandaṃ</b> janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	52n	chand	a masc	83	2	595	[sound:chanda.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=chanda 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
ārakkha 1	pps	1	masc	agent	ārakkhati					guard; watchman; protector; bodyguard			√rakkh 1 a (to protect)		ā + √rakkh + a	ārakṣa	√rakṣ				SN 22.85	yamakasuttaṃ	seyyathā’pi, āvuso yamaka, gahapati vā gahapatiputto vā aḍḍho mahaddhano mahābhogo; so ca <b>ārakkha</b>-sampanno.				SN 35.246	vīṇopamasuttaṃ	seyyathā'pi, bhikkhave, kiṭṭhaṃ sampannaṃ. kiṭṭh'<b>ārakkho</b> ca pamatto, goṇo ca kiṭṭh'ādo aduṃ kiṭṭhaṃ otaritvā yāva'd'atthaṃ madaṃ āpajjeyya pamādaṃ āpajjeyya.						Sāsana-<b>ārakkha</b> Buddhist Sanctuary			SBS	00n	ārakkh	a masc	83			[sound:ārakkha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=ārakkha 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
viriya	pss	1	nt	abstr						vigour; energy; effort; valour; lit. state of a strong man			√vīr 8 *e (to be heroic, hostile)		√vīr + iya	vīrya; vīria	√vīr	vīriya			Sri Lanka	buddha-vassa-sajjhāyanā	catutthaṃ paññā-pārami, pañcamaṃ <b>viriya</b>-pārami, chaṭṭhamaṃ khanti-pārami, sattamaṃ sacca-pārami				Thai		bojjh’aṅgo sati-saṅkhāto dhammānaṃ vicayo tathā <b>viriyam</b>’pīti-passaddhi bojjh’aṅgā ca tathā’pare samādh’upekkha-bojjh’aṅgā.	Bojjh’aṅga-parittaṃ		Protective Recitations			<b>viriya</b>kuṭi sāsan'ārakkhe hoti			SBS	57n	viriy	a nt	83		10	[sound:viriya.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=viriya&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
sotāpatti	pns	1	fem	comp						stream entry; first stage of enlightenment					sota + āpatti	srotaāpatti					DHP 178	lokavaggo	pathabyā ekarajjena, saggassa gamanena vā, <br/>sabbalok’ādhipaccena, <b>sot’āpatti</b>-phalaṃ varaṃ.				SN 25.1	cakkhusuttaṃ	abhabbo’va tāva kālaṃ kātuṃ yāva na <b>sot’āpatti</b>-phalaṃ sacchikaroti.						<b>sot'āpatti</b>kuṭi sāsan'ārakkhe hoti			SBS	00n	sotāpatt	i fem	83			[sound:sotāpatti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sotāpatti&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
soracca	pns	1	nt	abstr	sorata					kindness; gentleness; (comm) good conduct; lit. gentle state			√ram 1 a (to delight, please)		su + √ram + ta + *ya	sūrata	√ram		(ANa) soraccan'ti sucisīlaṃ		AN 4.61	pattakammasuttaṃ	samaṇabrāhmaṇā mada-ppamādā paṭiviratā khanti-<b>soracce</b> niviṭṭhā ekam’attānaṃ damenti, ekam’attānaṃ samenti, ekam’attānaṃ parinibbāpenti, 				TH 247	udāyittheragāthā	nāgaṃ vo kittayissāmi,<br/>na hi āguṃ karoti so,<br/><b>soraccaṃ</b> avihiṃsā ca,<br/>pādā nāgassa te duve.						<b>soracca</b>kuṭi sāsan'ārakkhe hoti			SBS	00n	soracc	a nt	83		10	[sound:soracca.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=soracca&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
sampajañña	pps	1	nt	abstr	sampajāna					attentiveness; clear awareness; clear comprehension			√ñā 5 nā (to know)	√ñā + nā > jānā	saṃ + pa + jāna + ya	samprajñā	√jñā				AN 10.61	avijjāsuttaṃ	sati-<b>sampajaññam</b>’p’āhaṃ, bhikkhave, sāhāraṃ vadāmi, no anāhāraṃ. ko c’āhāro sati-<b>sampajaññassa</b>? ‘yoniso-manasikāro’ti’ssa vacanīyaṃ.				AN 8.74	dutiya maraṇassatisuttaṃ	seyyathā’pi āditta-celo vā ādittasīso vā, tass’eva celassa vā sīsassa vā nibbāpanāya adhimattaṃ chandañ’ca vāyāmañ’ca ussāhañ’ca ussoḷhiñ’ca appaṭivāniñ’ca satiñ’ca <b>sampajaññañ</b>’ca kareyya.						<b>sampajañña</b>kuṭi sāsan'ārakkhe hoti			SBS	00n	sampajaññ	a nt	83		35	[sound:sampajañña.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sampajañña&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
