ID	Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Phonetic Changes	Derivative	Suffix	Compound	Compound Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Source4	Sutta4	Example4	Pali chant 4	English chant 4	Chapter 4	Index	Stem	Pattern	Test	class	count	audio	DPD	Pāli-old	eng-old	move	sync	Feedback
16179	catumadhura	n	1	nt	comp						four sweets (ghee, honey, sugar and sesame oil)					catu + madhura																							DNa 1.2.18	sāmaññaphalasuttavaṇṇanā	yo pana ekasmiṃ bhājane muttaharīṭakaṃ ṭhapetvā ekasmiṃ <b>catumadhuraṃ</b>, gaṇhāhi, bhante, yadicchasī'ti											catumadhur	a nt	43			[sound:coming-soon.mp3]		catumadhura	four sweets (ghee, honey, sugar and sesame oil)			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=catumadhura&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
41950	papañca	ppp	1	masc		papañceti					various opinions; proliferation; endless conceptualization; lit. expanding; spreading			√pañc 8 *e (to expand, spread)		pa + √pañc + a		kita	a			prapañca	√pac				MN 18	madhupiṇḍikasuttaṃ	yatonidānaṃ, bhikkhu, purisaṃ <b>papañca</b>saññāsaṅkhā samudācaranti. ettha ce n'atthi abhinanditabbaṃ abhivaditabbaṃ ajjhositabbaṃ.				SNP 49	kalahavivādasuttaṃ<br/>aṭṭhakavaggo 11	na saññasaññī na visaññasaññī, no'pi asaññī na vibhūtasaññī. evaṃ sametassa vibhoti rūpaṃ, saññānidānā hi <b>papañca</b>saṅkhā.				AN 4.174	ānandasuttaṃ	yāvatā papañcassa gati tāvatā channaṃ phass'āyatanānaṃ gati. channaṃ, āvuso, phass'āyatanānaṃ asesavirāganirodhā <b>papañca</b>nirodho <b>papañca</b>vūpasamo'ti.											papañc	a masc	43	2	85	[sound:papañca.mp3]	√√	papañca	various opinions; proliferation; endless conceptualization; lit. expanding; spreading 			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=papañca&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
53351	saṅghādisesa 2	pp	1	masc	comp						offence requiring suspension; lit. offence requiring involvement of the community from start to finish					saṅgha + ādi + sesa				sattamī tappurisa	saṅgha + ādises<b>e</b>	saṃghāvaśeṣa			(VIN 6.8.5) <b>saṅghādiseso</b>'ti yaṃ vuttaṃ,<br/>taṃ suṇohi yathātathaṃ,<br/>saṅgho'va deti parivāsaṃ,<br/>mūlāya paṭikassati,<br/>mānattaṃ deti abbheti,<br/>ten'etaṃ iti vuccati.		VIN PAT SA 1	sukkavissaṭṭhi sikkhāpada	sañcetanikā sukkavissaṭṭhi aññatra supin'antā <b>saṅghādiseso</b>'ti. 										VIN PAT SA 10	saṅghabheda sikkhāpada	yāvatatiyañ'ce samanubhāsiyamāno taṃ paṭinissajjeyya, icc'etaṃ kusalaṃ. no ce paṭinissajjeyya, <b>saṅghādiseso.</b>											saṅghādises	a masc	43	2	454	[sound:saṅghādisesa.mp3]	√√	saṅghādisesa 2	offence requiring suspension; lit. offence requiring involvement of the community from start to finish			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=saṅghādisesa 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
65289	vassa 2	pp	1	masc		vassati					rainy season; monsoon			√vass 1 a (to rain)		√vass + a		kita	a			varṣa	√vṛṣ				DHP 286	maggavaggo	idha v<b>assaṃ </b>vasissāmi, idha hem'antagimhisu, <br/>iti bālo vicinteti, antarāyaṃ na bujjhati.'										VIN 1.1.4	catutthapārājikaṃ	tena kho pana samayena sambahulā bhikkhū katikaṃ katvā aññatarasmiṃ āvāse <b>vassaṃ</b> upagacchiṃsu											vass	a masc	43	2	178	[sound:vassa.mp3]	√√	vassa 2	rainy season; monsoon			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vassa 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
71031	khemaka 2	nn	1	adj		khema					at peace; who is safe			√khi 1 a (to live, abide peacefully)		√khi > khe + *ma + ka<br/>khema + ka	i > e	taddhita	ka			kṣemaka	√kṣi																SN 22.89	khemakasuttaṃ	tena kho pana samayena āyasmā <b>khemako</b> badarik'ārāme viharati ābādhiko dukkhito bāḷhagilāno.				API 36	abhirūpanandātherīapadānaṃ	dhītā <b>khemaka</b>sakkassa, nandā nāmāti vissutā.					khemak	a adj	43			[sound:khemaka.mp3]		khemaka 2	at peace; who is safe			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=khemaka 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
1375	ācariya 1	ps	1	masc		ācarati					teacher; religious leader			√car 1 a (to act, behave)		ā + √car + iya		kita	iya			ācārya	√car				AN 4.73	sappurisasuttaṃ	so aparena samayena saṃvāsam'anvāya vissāsam'anvāya <b>ācariyam</b>'pi upajjhāyam'pi evam'āha, apetha, kiṃ pana tumhe jānāthā'ti!										Trad		iminā puññakammena upajjhāyā guṇ'uttarā, <b>ācariy</b>'ūpakārā ca mātāpitā ca ñātakā, suriyo candimā rājā, guṇavantā narā'pi ca	Uddissan'ādhiṭṭhānā	Sharing and Aspirations	Sharing of Merits							68n	ācariy	a masc	43	2	360	[sound:ācariya.mp3]	√√	ācariya 1	teacher; spiritual teacher			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=ācariya 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
15246	brahmavihāra	pns	1	masc	comp						sublime state; heavenly state; divine dwelling; collective name of the meditations on friendliness, compassion, happiness for and equanimity; lit. gods mansion					brahma + vihāra				chaṭṭhī tappurisa	brahm<b>uno</b> + vihāra	brahmavihāra				a collective term for the states of friendliness, compassion, appreciation and equanimity	MN 83	maghadevasuttaṃ	so cattāro <b>brahmavihāre</b> bhāvetvā kāyassa bhedā paraṃ maraṇā brahmalok'ūpago ahosi										Trad		handa mayaṁ catura<b>brahmavihārā</b> obhāsanaṁ karomase	Brahmavihārā	The Divine Abidings	Reflections	SN 54.12	kaṅkheyyasuttaṃ	ānāpānassatisamādhiṃ sammā vadamāno vadeyya, ariyavihāro iti'pi, <b>brahmavihāro</b> iti'pi, tathāgatavihāro iti'pi.				32n	brahmavihār	a masc	43			[sound:brahmavihāra.mp3]	√	brahmavihāra	sublime state; heavenly state; lit. divine dwelling			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=brahmavihāra&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
68066	viriya	ps	1	nt	abstr						effort; energy; might; power; lit. virility			√vīr 8 *e (to be heroic, hostile)		√vīr + iya	ī > i	kita	iya			vīrya; vīria	√vīr	vīriya															Sri Lanka	buddha-vassa-sajjhāyanā	catutthaṃ paññāpārami, pañcamaṃ <b>viriya</b>pārami, chaṭṭhamaṃ khantipārami, sattamaṃ saccapārami				Thai		bojjh'aṅgo satisaṅkhāto dhammānaṃ vicayo tathā <b>viriyam</b>'pītipassaddhi bojjh'aṅgā ca tathā'pare samādh'upekkhabojjh'aṅgā.	Bojjh’aṅga-parittaṃ		Protective Recitations	57n	viriy	a nt	43		10	[sound:viriya.mp3]		viriya	vigour; energy; effort; valour; lit. state of a strong man			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=viriya&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
19410	dhutaṅga	p	1	nt	comp						ascetic practice; lit. factor of shaking off					dhuta + aṅga				chaṭṭhī tappurisa	dhut<b>assa</b> + aṅga			dhūtaṅga															NIDD 1.3	duṭṭhaṭṭhakasuttaṃniddeso	aṭṭha <b>dhut'aṅgāni</b>, āraññik'aṅgaṃ, piṇḍapātik'aṅgaṃ, paṃsukūlik'aṅgaṃ, tecīvarik'aṅgaṃ, sapadānacārik'aṅgaṃ, khalupacchābhattik'aṅgaṃ, nesajjik'aṅgaṃ, yathāsanthatik'aṅgaṃ, idaṃ vuccati vataṃ, na sīlaṃ.											dhutaṅg	a nt	43			[sound:dhutaṅga.mp3]		dhutaṅga	ascetic practice; lit. means of shaking off; removal (the defilements)			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=dhutaṅga&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
16756	chanda 1	ss	1	masc		chādeti					interest (in); desire (for); wish (for); intention (to); impulse (for)			√chand 8 *e (to desire, please)		√chand + a		kita	a			chanda	√chad		(ANa) idañ'hi idha <b>chando</b>'ti dubbalarāgass'ādhivacanaṃ.<br/>(ANa) <b>chando</b>'ti kattu'kamyatāchando.								SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	khīṇaṃ purāṇaṃ navaṃ n'atthi sambhavaṃ, virattacitt'āyatike bhavasmiṃ.  <br/>te khīṇabījā avirūḷhi<b>chandā</b>, nibbanti dhīrā yath'āyaṃ padīpo.	Ratana-sutta		Protective Recitations	DN 22.18	mahāsatipaṭṭhānasuttaṃ	anuppannānaṃ kusalānaṃ dhammānaṃ uppādāya <b>chandaṃ</b> janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							52n	chand	a masc	43	2	595	[sound:chanda.mp3]	√√	chanda 1	interest (in); desire (for); wish (for); intention (to); impulse (for)			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=chanda 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
