Pāli1	POS	Pattern	class	count
hoti	pr	hoti pr	3	19313.0
atthi	pr	atthi pr	3	3596.0
ahosi	aor	ahosi aor	3	3104.0
gahapati	masc	i masc	3	1586.0
nisīdi	aor	i aor	3	1192.0
āmantesi	aor	esi aor	3	747.0
samādhi	masc	i masc	3	721.0
udapādi	aor	i aor	3	519.0
paccassosi	aor	i aor	3	385.0
aggi	masc	i masc	3	335.0
pasenadi	masc	i masc	3	320.0
āhari	aor	hari aor	3	306.0
gāmaṇi	masc	i masc	3	277.0
vigarahi	aor	i aor	3	270.0
aṭṭhāsi	aor	āsi aor	3	261.0
sammodi	aor	i aor	3	261.0
pakkāmi	aor	i aor	3	224.0
vadesi	aor	esi aor	3	222.0
āsi	aor	āsi aor irreg	3	218.0
vihari	aor	hari aor	3	205.0
pāvisi	aor	i aor	3	202.0
isi	masc	i masc	3	201.0
muni	masc	i masc	3	201.0
pahoti	pr	hoti pr	3	189.0
abhinandi	aor	i aor	3	184.0
abbhaññāsi	aor	āsi aor	3	180.0
abhāsi	aor	āsi aor	3	174.0
upāli	masc	i masc	3	163.0
ñāti	masc	i masc	3	156.0
licchavi	masc	i masc	3	150.0
samāpajji	aor	i aor	3	148.0
thapati	masc	i masc	3	147.0
pāṇi	masc	i masc	3	146.0
ajjhabhāsi	aor	āsi aor	3	146.0
agamāsi	aor	āsi aor	3	144.0
maṇi	masc	i masc	3	140.0
sārathi	masc	i masc	3	134.0
adāsi	aor	āsi aor	3	133.0
añjali	masc	i masc	3	128.0
adhivāsesi	aor	esi aor	3	68.0
samādapesi	aor	esi aor	3	57.0
aggahesi	aor	esi aor	3	50.0
sandassesi	aor	esi aor	3	49.0
sampahaṃsesi	aor	esi aor	3	46.0
samuttejesi	aor	esi aor	3	46.0
pāhesi	aor	esi aor	3	43.0
voropesi	aor	esi aor	3	42.0
